regioncode,folder,filename,path
4034300,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4034400,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4034500,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4034800,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4034900,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4038100,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4038200,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4038300,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4038400,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4040100,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4040200,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4042100,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4044700,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4044800,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4050300,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4052200,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4054400,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4060100,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4060200,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4060400,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
4060500,sityousontou,40_fukuoka_region.geojson,GAS\sityousontou\40_fukuoka_region.geojson
